Captura,Entrada,AG
188,61.818,58.8983179006013
189,61.467,58.7199861195175
190,61.115,58.5247342425506
191,60.88,58.3426903647429
192,60.293,58.0881668856251
193,59.942,57.8426566993512
194,59.824,57.5853962743904
195,58.886,57.3120507694233
196,58.769,57.0331515580011
197,58.299,56.7354262790315
198,57.83,56.4237305856857
199,57.596,56.1044113076814
200,57.244,55.772993583702
201,56.892,55.4310585382763
202,56.423,55.0830443721434
203,56.071,54.720909549831
204,55.719,54.352665237725
205,55.367,53.9790849189889
206,55.015,53.5976229850315
207,54.311,53.2122171769335
208,53.959,52.8149138197534
209,53.607,52.4146445837471
210,53.021,52.0071415151465
211,52.552,51.5962039367275
212,52.2,51.1715462647244
213,51.613,50.7429148674941
214,51.261,50.3150781451143
215,50.909,49.8728283807
216,50.44,49.4329399773227
217,49.971,48.9883633820284
218,49.619,48.5405396794115
219,49.15,48.091900981896
220,48.681,47.6354294998453
221,48.211,47.1817412514211
222,47.859,46.7269284359596
223,46.921,46.2721693791718
224,46.452,45.8180637614673
225,45.865,45.3647470848437
226,45.279,44.9119164490025
227,44.81,44.4627076414722
228,43.871,44.0161471073884
229,43.285,43.5709381961867
230,42.815,43.1296603001571
231,42.112,42.6896786459825
232,41.408,42.2554629912201
233,40.821,41.8230829951706
234,39.766,41.4018316214398
235,39.062,40.9785110745194
236,38.475,40.5713110976573
237,37.889,40.1638842540426
238,36.833,39.7675759708562
239,36.247,39.3760920044727
240,35.777,38.9908202136018
241,35.308,38.6137391881933
242,34.839,38.2185358052592
243,34.37,37.8774805363539
244,34.135,37.526692828984
245,33.901,37.182500179472
246,33.783,36.8463429601277
247,33.783,36.5143584600979
248,33.666,36.1901731579554
249,33.666,35.8700540649843
250,33.549,35.5593861101865
251,33.431,35.2551684204995
252,33.431,34.9565510327031
253,33.431,34.6638558583452
254,33.197,34.3748102234022
255,33.079,34.0879494088244
256,33.079,33.8093090682217
257,32.962,33.5330189530385
258,32.728,33.2621508012024
259,32.728,32.993689169576
260,32.61,32.7285352491849
261,32.376,32.4662095922118
262,32.376,32.2045751682999
263,32.258,31.9436041093737
264,32.024,31.6831672940326
265,31.906,31.4232588355521
266,31.672,31.1627520686162
267,31.672,30.9015556646096
268,31.437,30.6393697976117
269,31.203,30.3755964643869
270,30.968,30.1111516354667
271,30.851,29.8408595645091
272,30.616,29.5707394680766
273,30.381,29.2945926566559
274,30.147,29.024942013543
275,29.912,28.7336015847441
276,29.795,28.4466416606932
277,29.795,28.1525931284547
278,28.857,27.8539465122659
279,28.857,27.5501686857124
280,28.739,27.2382884793187
281,28.387,26.922963980571
282,28.27,26.5972082617959
283,27.918,26.2679504555159
284,27.801,25.926198436483
285,27.332,25.5819763233702
286,27.097,25.2365804575207
287,26.745,24.8722471842508
288,26.276,24.5058363649259
289,26.041,24.1304001059169
290,25.572,23.7507871266278
291,25.337,23.3644663668832
292,24.986,22.9724463278274
293,24.634,22.5654837049051
294,24.047,22.1436669596039
295,23.695,21.7200317980288
296,23.343,21.2895747041431
297,22.874,20.8490270742216
298,22.64,20.4027511401309
299,22.17,19.9483800232223
300,21.467,19.4871563841299
301,21.115,19.0184759680329
302,20.528,18.5440694125716
303,19.824,18.0641889855196
304,19.238,17.5793062681537
305,18.769,17.0897134017044
306,18.065,16.5975161147769
307,17.478,16.0999191601992
308,16.774,15.6031937489773
309,15.836,15.1024602323925
310,15.132,14.6013186837668
311,14.546,14.0993173996196
312,13.607,13.5973942518496
313,12.903,13.0962039478624
314,12.434,12.5954418753351
315,11.73,12.0978389250612
316,10.557,11.6005343849386
317,9.971,11.1077745201239
318,8.915,10.6161293329869
319,8.329,10.1281852708651
320,7.625,9.64673003550256
321,7.038,9.16240504048766
322,6.452,8.69103376420613
323,5.983,8.21944252004643
324,4.927,7.75435734502192
325,4.458,7.29236700676046
326,4.106,6.83612082738559
327,3.402,6.38727294463398
328,2.933,5.94178169827601
329,2.581,5.49929078560803
330,2.112,5.0637253921033
331,1.642,4.63152948734443
332,1.291,4.2034789050604
333,1.056,3.77678151885014
334,0.704,3.36008797815024
335,0.352,2.94470721605052
336,0.118,2.533441778638
337,0,2.12401192186161
338,0.118,1.71638564399566
339,0,1.30461284811089
340,0,0.89219787999193
341,0,0.467554335126149
342,0,0
